Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
Prenursing,5/1/19,,,,,,,,,,,,,,Honeydew Melon,,Akers,Incoming Freshman,,,,
Political Science- Prelaw,5/1/19,,,,,,,,,,,x,,,,,Hubbard,Incoming Freshman,,,,
Lyman Briggs,5/1/19,x,x,,,,,,,x,,,,,Corn,,Holmes ,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,x,,,,,,Holmes,Incoming Freshman,,,,
Experience Architecture,5/1/19,,,,,x,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,x,x,,,,,,,,legumes,,Snyder,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,x,,,,,,,,,,,,,,Holmes,Unknown,,,,
Microbiology,5/1/19,,x,x,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,x,,,,,,,,,,Mcdonel,Incoming Freshman,,,,
Preveterinary ,5/1/19,,,,,,,,,,,,,,strawberry,,Akers,Incoming Freshman,,,,
,5/1/19,x,,,,x,x,,,,,,,,meat,,Wilson,Incoming Freshman,,,,
Computer Science,5/1/19,,,,,,,,,,,,,,Pork,,Holden,Incoming Freshman,,,,
Computer Science,5/1/19,,,,,,,,,,,x,,,,,Hubbard,Incoming Freshman,,,,
Psychology,5/1/19,,x,,,,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Computer Science ,5/1/19,,,,,,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,x,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Sociology,5/1/19,,,x,x,,,,,,,,,,,,Akers,Unknown,,,,
Social Work ,5/1/19,,,,,,,,,x,,,,,gluten intolerant,,McDonel,Incoming Freshman,,,,
Human Biology,5/1/19,,,,,x,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
James Madison,5/1/19,,,x,,,,,,,,,,,,,Case ,Incoming Freshman,,,,
Prenursing,5/1/19,,,,x,x,x,,,x,,,,,,,Phillips,Incoming Freshman,,,,
Chemical Engineering,5/1/19,,,,,,,,,,,x,,,,,Wilson,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,,x,,,,,,Holden,Incoming Freshman,,,,
Biosystems Engineering,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,,x,,,,,,,,,,Gilchrest,Incoming Freshman,,,,
Arts and Humanities,5/1/19,,,x,x,x,,,,,,,,,,,Phillps,Incoming Freshman,,,,
Mathematics,5/1/19,,,x,,,,,,,,,,,,,Gilchrist,Incoming Freshman,,,,
Preveterinary ,5/1/19,,,,,x,x,,,,,,,,,,Bryan,Incoming Freshman,,,,
Engineering-Exploratory,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Prenursing,5/1/19,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
Human Biology,5/1/19,,,,x,,,,,,,,,,,,Holden,Incoming Freshman,,,,
Environmental Biology/Zoology,5/1/19,,,,,,x,,,,,,,,,,Bailey ,Incoming Freshman,,,,
Physics,5/1/19,,,,,x,x,,,,,,,x,,outgrew fish and melon allergies,McDonel,Incoming Freshman,,,,
Animal Science,5/1/19,,,,,,,,,,,,,,buckwheat,,Hubbard,Incoming Freshman,,,,
Mathematics,5/1/19,,,,,,x,x,,,,,,,,,Case ,Incoming Freshman,,,,
Computer Science ,5/1/19,,,,,,,,,,,,,,"Melon, Strawberries",,Wilson,Incoming Freshman,,,,
Pre-vet,5/1/19,,,,,x,x,,,,,x,,,,,Brody,Sophomore,,,,
Computer Science ,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,5/1/19,,,,,x,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Exploratory Preference,5/1/19,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Kinesiology,5/1/19,,,,,x,,,,,,,,,,,Case ,Incoming Freshman,,,,
James Madison ,5/1/19,,,,x,,x,,,,,,,,"walnuts, shrimp",,Case ,Incoming Freshman,,,,
Zoology,5/1/19,,,,,,,,,x,,,,,,Celiac ,Akers,Incoming Freshman,,,,
Computer Science ,5/1/19,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,x,,,,,,,Akers ,Incoming Freshman,,,,
Mechanical Engineering,5/1/19,,,,,x,x,,,,,,,,,,Brody,Incoming Freshman,,,,
Education,5/1/19,,,,,,,,,x,,,,,,,Gilchrist,Incoming Freshman,,,,
Mechanical Engineering ,5/1/19,x,x,,,,,,,,,,,,,,Wilson,Sophomore,,,,
Journalism,5/1/19,,x,,,,,,,,,,,,lactose intolerant,,Akers,Incoming Freshman,,,,
Environmental Engineering,5/1/19,,x,,,,,,,,,,,,,,Holden,Incoming Freshman,,,,
Arts and Humanities,5/1/19,,,x,x,x,x,,,,,,,,,,Armstrong ,Incoming Freshman,,,,
James Madison,5/1/19,,,,,,,,,x,,,,,,,Case ,Incoming Freshman,,,,
Exploratory Preference,5/1/19,,,,,x,x,,,,,,,,,,Holden,Incoming Freshman,,,,
Biosystems Engineering ,5/1/19,,,,,,,,,x,,,,,,,Wilson,Incoming Freshman,9/12/2019,,,
Human Biology,5/1/19,,,,,,,,,,,,,,multiple food sensitivities ,,Hubbard,Incoming Freshman,,,,
Computer Science,5/1/19,,x,,,,,,,,,,,,cinnamon,,Wilson,Incoming Freshman ,,,,
Environmental Studies & Sustainability,5/1/19,,x,,,x,,,,,,,,,Beef,,Unknown,Incoming Freshman,,,,
Human Biology,5/1/19,,,,,,x,,,,,,,,,,Holmes ,Incoming Freshman,,,,
James Madison,5/1/19,,,,,x,x,,,,,,,,,,Case ,Sophomore,,,,
Prenursing,5/1/19,,,,,,,,,x,,,,,,,Campbell,Incoming Freshman,,,,
,5/1/19,,,,,,,,,x,,,,,,,Armstrong,Incoming Freshman,,,,
Packaging ,5/1/19,,,,,,,,,x,,,,,MTHFR Mutation/ no folic acid; low iron,Contacted 10/4 re: inability to find GF options on campus,McDonel,Incoming Freshman,4-Oct,X,,
Prenursing,5/1/19,,,,,,x,,,,,,,,,,Akers,Incoming Freshman,,,,
,5/1/19,,,,,,,,,x,,,,,Corn,,Holmes,Incoming Freshman,,,,
Chemical Engineering,5/1/19,,,,,,,,,x,,,,,,, Bailey,Incoming Freshman,,,,
Fisheries And Wildlife ,5/1/19,,,,,x,x,,,,,,,,,,Brody,Incoming Freshman,,,,
Engineering- Exploratory,5/1/19,,,,,x,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
Public Policy,5/1/19,,,,,,,,,,,,,x,,,McDonel,Incoming Freshman,,,,
Physiology,5/1/19,,,,,,,,,,,,,,pesticidies (needs organic fruit & veggies),,McDonel,Junior,,,,
Environmental Biology/Zoology,5/1/19,,,,,,,,,,,x,,,,,Bailey,Sophomore,,,,
Environmental Geosciences,5/1/19,,,,,,,,,,x,,,,,,Bailey,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,Type 1 Diabetes,,Holmes,Incoming Freshman,,,,
Business- Preference ,5/1/19,,x,,,,,,,,,,,,,,Gilchrist,Incoming Freshman,,,,
,5/1/19,,,,,,x,,,,,,,,cashews,,Unknown,Incoming Freshman,,,,
Applied Engineering Sciences,5/1/19,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
Electrical Engineering ,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Fisheries And Wildlife ,5/1/19,,,,,,,,,,x,,,,,,Bailey,Incoming Freshman,,,,
Preveterinary ,5/1/19,,,,,,,,x,,,,,,IBS,,McDonel,Sophomore,,,,
Kinesiology,5/1/19,,,x,,x,x,,,,,,,,,,Brody,Incoming Freshman,,,,
Nautral Science- Exploratory ,5/1/19,,,,,,,,,,,,,,Pork,,Holmes,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,x,,,,,,,,,,,Abbot,Incoming Freshman,,,,
Mechanical Engineering,5/1/19,,x,,,,,,,,,,,,lactose intolerant,,Holmes,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,x,,,,,Holmes ,Incoming Freshman,,,,
James Madison,5/1/19,,,,,,,,,x,,,,,,,Case ,Incoming Freshman,,,,
Advertising Creative,5/1/19,,,,,,x,,,,,,,,Cashews,,Abbott,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,x,x,,,,processed sugar,,Holmes,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,sunflower seeds,,Holmes,Incoming Freshman,,,,
Computer Science,5/1/19,,,,,,,,,,,,,,PCOS,,Bryan,Incoming Freshman,,,,
Pre-nursing,5/1/19,,,,,,,,,,,,,,"Pork, Mango",,Emmons,Incoming Freshman,,,,
Economics,5/1/19,,,,,x,x,x,,,,,,,legumes,,Akers,Incoming Freshman,,,,
Zoology,5/1/19,,,,,,,,,,,x,,,,,Mason,Junior,,,,
Computer Science,5/1/19,,,,,,,,,x,,,,,,,Wilson,Incoming Freshman,,,,
Computational Data Science,5/1/19,,,,,,,,,,x,,,,,,Wilson,Junior ,,,,
,5/1/19,,x,,,,,,,,,,,,,,McDonel,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
,5/1/19,,,,x,,,,,,,,,,,,Shaw,Unknown,,,,
Lyman Briggs,5/1/19,,,,,,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
,5/1/19,,x,,,,,,,,,,,,,,Holden,Incoming Freshman,,,,
Engineering,5/1/19,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
James Madison,5/1/19,,,,,,,,,,,x,,,,,Case ,Incoming Freshman,,,,
Prenursing,5/1/19,,,,,,,,,,,,,,chocolate,,Unknown,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,,,x,,,,,Case ,Incoming Freshman,,,,
Human Biology,5/1/19,,,,,,,,,,,,,,,,Abbot,Incoming Freshman,,,,
Exploratory Preference,5/1/19,,,,,,,,,x,,,,,,,Gilchrest,Incoming Freshman,,,,
Psychology,5/1/19,,x,,,,,,,x,,,,,,,Off Campus,Sophomore,,,,
Lyman Briggs,5/1/19,,x,,,,,,,,,,,,Honey,,Holmes,Incoming Freshman,,,,
Dietetics ,5/1/19,,,,,,,,,,x,,,,,,McDonel,Incoming Freshman,,,,
Political Science,5/1/19,,,,,x,x,,,,,,,,,,Yakely ,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,x,,,,,,,Bryan,Incoming Freshman,,,,
,5/1/19,,,,,,,,,,,,x,,,,Hubbard,Incoming Freshman,,,,
Business- Preference ,5/1/19,,x,,,,x,x,,,,,,,,,Mayo,Incoming Freshman,,,,
,5/1/19,,,,,,x,,,,,,,,,,Wonders,Unknown,,,,
Lyman Briggs,5/1/19,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,,x,,,,,,,,,,McDonel ,Incoming Freshman,,,,
Computer Science,5/1/19,,,,,,,,x,,,,,,,,Wonders,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Business-Preference ,5/1/19,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Computer Engineering ,5/1/19,,,,,,x,,,,,,,,,,Unknown,Sophomore,,,,
Neuroscience,5/1/19,,,,,,,,,,,x,,,,,Hubbard,Incoming Freshman,,,,
Zoology,5/1/19,,,,,,,,,,,,,,Writing not legible on form,,Rather,Incoming Freshman,,,,
Horticulture,5/1/19,,,,,x,,,,,,,,,,,Holden,Incoming Freshman,,,,
Genomics & Molecular Genetics,5/1/19,,,,x,x,x,,,,,,,,,,Campbell,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,x,x,,,Holmes ,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,x,x,x,,,,,,,,,Abbot,Incoming Freshman,,,,
Mechanical Engineering ,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Chemical Engineering,5/1/19,,,,,,,,,,,,x,,,,Holmes,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,,,,,,,,x,,,,Unknown,Incoming Freshman,,,,
,5/1/19,,,,,,,,,,,,x,,,,Holmes,Unknown,,,,
Computer Science,5/1/19,,,,,,,,,,,,,,No Beef,,Wilson,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,x,,,,Holmes,Sophomore,,,,
Neuroscience,5/1/19,,,,,,,,,,,,x,,,,Shaw,Freshman,,,,
,5/1/19,,,,,,,,,,,,x,,,,Unknown,Unknown,,,,
Genomics & Molecular Genetics,5/1/19,,,,,,,,,,,,,,Indian food options,,Wonders,Freshman,,,,
Engineering-Exploratory,5/1/19,,,,,x,x,,,,,,,,,,Phillips,Freshman,,,,
Psychology,5/1/19,,,,,,x,,,,,,,,Cashews & Pistachio,,Wilson,Freshman,,,,
Packaging ,5/1/19,,,,x,,x,,,,,,,,,,Case,Freshman,,,,
,5/1/19,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
,5/1/19,,x,,,,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Computer Science,5/1/19,,x,x,x,,,,,,,,,,"Corn, tomatoes",,Wonders,Incoming Freshman,,,,
Pyschology ,5/1/19,,,,,,,,,,,,,,will need assistance carb counting,NSO provided info- will need to reach out once contact info becomes available,Case ,Incoming Freshman,,,,
Biosystems Engineering,9/18/19,,,,,,,,,,,x,,,,improper sign switch at Shaw- accidentally ate a non-veg dish,Shaw,Unknown,,,,
Environmental Geosciences,9/19/19,,,,,,,,,,,,,,Cinnamon,,Akers,Unknown,,,,
Chemistry,9/30/19,,,,,x,x,,,,,,,,,Rxn in dorm  from ice cream purchased at spartys by RA,Unknown,Freshman,,,,
Prenursing,9/30/19,,x,,,,,,x,x,,,,,"No spicy, acidic, sugar foods- trying to follow keto",Dietary Restrictions causing anxiety in the halls,Unknown,Sophomore,,X,,
,10/1/19,,x,,,,,,,,,,,,,Requesting Almond & Soy Milk at Spartys,Off Campus,Unknown,,,,
Fulbright Scholar,10/14/19,,,,,,,,,,,x,,,,Provided wrong info by server and accidentally ate pork,Shaw,Unknown,,,,
,10/22/19,,,,,,,,,,,,,,Picky eater,Referred by Karen G,Case,Unknown,,,,
,10/23/19,,,,,,,,,,,,,,,Requesting tender nutrition information,Unknown,Unknown,,,,
,11/2/19,x,x,,,x,x,,,,,,,,,Accepted Freshman Fall 2020,Unknown,Incoming Freshman,,,,
Psychology,11/3/19,,,,,,,,,x,,,,,,daughter is newly diagnosed Celiac,Unknown,Junior,,,,
,11/4/19,,,,,,,,,,,,,,,Requesting Coconut Yogurt nutrition info,Unknown,Unknown,,,,
,11/19/19,,,,,,,,,,,,,,Does not like cilantro,Concern with Cilantro used in dining halls,Unknown,Unknown,,,,
Physiology,11/27/19,,,,,,,,,,,,,,Low Iodine (Thyroid CX),undergoing radiation- need low iodine diet,Snyder,Sophomore,,,,
Mechanical Engineering,12/2/19,,,,,x,x,,,,,,,,,Rx at The Gallery,Snyder,Senior,,,,
,12/5/19,,,,,,,,,,,,,,,Picky eater-request out of meal plan Spring and next year,Holden,Freshman,,,,
International Relations,12/27/19,,,,,,,,,,,,,,Liquid Diet,Corrective Double Jaw Surgery,Case,Senior,,,,
Biomedical Laboratory Science,1/6/20,,,,,,,,,,,x,,,,Difficulty finding options,Unknown,Sophomore,,,,
,1/7/20,,,,,,,,,,,,,,,Son on antibiotics- looking for probiotics,Unknown,Unknown,,,,
,1/9/20,,x,,,x,x,,,,,,,,"kiwi, avocado (airborne?)",Attending InsideMSU,Unknown,Prospective,,,,
Forestry,1/8/20,,,,,,,,,x,,,,,,Requesting tofu separate from croutons @ Gallery,Snyder,Senior,,,,
Media and Information,1/7/20,,x,,,,,,,,,,,,Pescetarian/Pre Diabetic,Wants out of contract,Case,Senior,,,,
Business,1/12/20,,,,,,,,,,,x,,,,Requesting out of meal plan,Unknown,Sophomore,,,,
Forestry,12/27/19,,x,,,,,,,x,,,,,oils,,Unknown,Sophomore,,,,
,1/9/20,,,,,,,,,,,,,,fructose and glucose intolerance,,Mason,Freshman,,,,
,1/14/20,,,,,,,,,x,,,,,,,Case,Freshman,,X,,
,1/13/20,,,,,,,,,,,,,,Questions about local and nutrient dense foods,,Unknown,Unknown,,,,
,1/13/20,,,,,,,,,,,,,,Questions about greens in dining halls,,Unknown,Unknown,,,,
Human Biology,1/11/20,,,,,,,,,,,,,,Questions about greens in dining halls,,Unknown,Unknown,,,,
Psychology,1/15/20,x,,,x,x,x,x,x,,,,,,"Legumes, Seeds, Coconut, Avocado, Eggplant, Kiwi, Mango, Pink Peppercorns, MSG, Nitrates, Nitrites",,Armstrong,Incoming Freshman,,X,,
,1/16/20,,,,,,,,,,,,,,Onion Allergy,,Unknown,Unknown,,,,
,1/16/20,,,,,,,,,,,,,,,Concerned about butter expiration date @ brody,Brody,Unknown,,,,
,1/16/20,x,,,,x,,,,,,,,,,,Unknown,Prospective,,,,
Media and Information,1/22/20,,,,,,,,,,,,,,,Has allergies- wants out of meal plan,Unknown,Unknown,,,,
Accounting,1/23/20,,,,,,,,,,,,,,,Requested Adobo chicken & veggies recipe from Shaw,Unknown,Unknown,,,,
,1/24/20,,,x,x,,,,,,,,,,,Wants more non-seafood options at Akers Pit,Akers,Employee,,,,
,1/25/20,,,,,,,,,x,,,,,,Attending ADS-parent and student cannot have gluten,Unknown,Prospective,,,,
Literature in E nglish,1/31/20,,,,,,,,,,,,x,,,Question about identifying Halal on campus,Unknown,Graduate,,,,
,1/30/20,,,,,,,,,,x,,,,,"Gets sick if ingests meat, dairy or eggs",Unknown,Sophomore,,,,
,2/3/20,,,,x,x,,,x,x,,,,,,OAS to some fresh fruits and veggies,Unknown,Prospective,,,,
,2/3/20,,,,,,,,,,,,,x,,Issue with Brody Menu on 2/2/2020- non kosher items being served at venue,Brody,Employee,,,,
Computer Science,2/4/20,x,,x,,,x,,,,,,,,,Attending ADS,Unknown,Prospective,,,,
Environmental Geography,2/5/20,,x,,,,,,,,,,,,,Attending ADS,Unknown,Prospective,,,,
Kinesiology,2/4/20,,,,,,,,,,,,,,,Requested recipes for clam chowder and spicy crab soup,Unknown,Unknown,,,,
Lyman Briggs,2/7/20,,,,,,,,,x,,,,,Celiac,Question about rooming with someone else who has Celiac Disease,Unknown,Incoming Freshman,,,,
,2/18/20,,,,,,,,,,,,,,,Referral from Olin- student is blind and having difficulty navigating Sny/Phi,Snyder,Unknown,,,,
,2/23/20,,,,,,x,,,,,,,,"Oat, Rice, Legumes",Attending show on campus- wants to eat at Thrive,Owen,Community,,,,
,2/24/20,,x,,,,,,,,,,,,Ginger,Dining @ Brody for a birthday,Brody,Community,,,,
,2/24/20,,,,,,,,,x,,,,,Celiac,Attending Inside MSU 3/13/20,Unknown,Prospective,,,,
,2/25/20,x,x,x,x,x,,,,,,,,,"Poultry, oats",Questions about individualized meals- potential Athlete and questions about traveling,Unknown,Prospective,,,,
Veterinary Medicine,3/7/20,,,,,,,,,,,,,,,Wants to follow keto diet,Unknown,Graduate,,,,
,3/9/20,,,,,,,,,x,,,,,,Attending Inside MSU 3/13/20,Unknown,Prospective,,,,
Neuroscience,3/9/20,,,,,,,,,x,,,,,,Attending Inside MSU 3/16/20,Unknown,Incoming Freshman,,,,
,3/25/20,,,,,,,,,,,,,,,Concerned about prepackaged options due to reported dietary restrictions,Unknown,Unknown,,,,
Human Biology,4/1/20,,x,,,,,,,,,,,,,,Hubbard,Prospective,,,,
,4/2/20,x,x,,x,x,x,,,,,,,,Hazelnuts,,Unknown,Prospective,,,,
Animal Science,4/14/20,,x,,x,x,x,,,x,,,,,"Mustard, Buckwheat, Corn",,Unknown,Incoming Freshman,,,,
James Madison,4/16/20,,,x,x,x,x,,,,,,,,Kosher (not strict- avoids pork and shellfish),,Case,Incoming Freshman,,,,
Computer Science,4/16/20,,,,,,,,,,,x,,,Corn,,Unknown,Incoming Freshman,,X,,
,4/22/20,x,x,x,x,,x,,,,,,,,"Beans (garbanzo & lentils okay); walnuts, salmon",,Unknown,Incoming Freshman,,,,
,4/23/20,x,,x,x,x,x,x,,,,,,,"sunflower seeds, mushrooms, chickpeas",,McDonel,Prospective,,X,,
,4/23/20,,,,,,x,,,,,,,,pinenuts & hazelnuts,,Unknown,Incoming Freshman,,,,
,4/27/20,,,,x,x,x,,,,,,,,airborne,Emily Werner working with student,Unknown,Incoming Student,,,,
,4/29/20,x,,,,,,,,x,,,,,Celiac,Transfer student in fall- wants out of meal plan due to hx of rxns at her previous college,Unknown,Transfer,,X,,
Data Science,4/29/20,,,,,,x,,,,,,,,,,Unknown,Incoming Freshman,,X,,
Business,5/5/20,,x,,,,,,,x,,,,,Celiac,,Unknown,Incoming Freshman,,,,
Human Biology,5/5/20,,,,,x,,,,,,,,,"Oranges, avoids all nuts",Referal from RCPD,Unknown,Incoming Freshman,,X,,
Psychology,5/5/20,,,,,,,,,,,,,,,Referal from RCPD,Unknown,Unknown,,X,,
,5/11/20,,,,,,,,,,,,,x,,,Unknown,Incoming Freshman,,,,
Engineering,5/11/20,,,,,x,x,,,,,,,,,Looking for suite mates with nut allergies,Unknown,Incoming Freshman,,,,
,5/13/20,,,,,,,,,,,,,,,dietary needs: questions about meal plan,Unknown,Incoming Freshman,,,,
,5/19/20,,,,,,,,,,,,,x,,Requesting Brody for Kosher meals,Unknown,Incoming Freshman,,,,
Human Biology,5/21/20,,,,,,,,,x,,,,,,,Case,Incoming Freshman,,,,
,5/23/20,,,,,,,,,,x,,,,,Wants out of contract- applied but was denied,Unknown,Unknown,,,,
,5/24/20,,,,,,x,x,,,,,,,sunflower seeds,,Unknown,Prospective,,,,
Accounting,5/26/20,,x,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
English,5/26/20,,,,,,,,,,,,,,Pre-Diabetic,Referral from RCPD,Unknown,Unknown,,X,,
Economics,6/3/20,,,,,,,,,,,,,,Diabetic,Referral from RCPD,Unknown,Unknown,,X,,
Kinesiology,5/29/20,,,,,,,,,x,,,,,Celiac,,Unknown,Unknown,,,,
,6/1/20,,,,,,,,,x,,,,,Celiac,,Unknown,Unknown,,,,
,6/10/20,,,,,,,,,,,,,x,,Wants to live in Brody,Unknown,Unknown,,,,
Dietetics ,6/12/20,,,,,,,,,,,,,,,,Unknown,Unknown,,X,,
Hospitality Business,6/14/20,,,,,,x,,,,x,,,,,,Abbot,Incoming Freshman,,,,
,6/18/20,,,,,,,,,,,,,,Diabetic,Referral from RCPD,Unknown,Unknown,,X,,
,6/18/20,,,,,,,,,,,,,,,Referral from RCPD,Unknown,Unknown,,X,,
Zoology,6/20/20,,,,,,,,,,x,,,,,,Unknown,Unknown,,,,
Comparitive Culture & Politics,6/21/20,,x,,,,,,,x,,,,,beef,,Unknown,Unknown,,,,
Business,6/25/20,,,,,x,,,,,,,,,,,Unknown,Unknown,,,,
Business-admitted,6/30/20,,,,,,,,,x,,,,,Celiac,,Akers,Unknown,,,,
Data Science,7/8/20,,,,,,,,,,,,,,,,Unknown,Unknown,,X,,
,7/3/20,,,,,,,,,x,,,,,various others; mild foods,,Brody,Sophomore,Left VM for dad on 7/13,,,
Veterinary Medicine,7/3/20,,,,x,,,,,,x,,,,specifically mussels and scallops ,,Owen,Unknown,,,,
,5/1/20,,,,,,,,,,,x,,,,,Akers,Unknown,,,,
,7/13/20,,,,,,,,,x,x,,,,,,Unknown,Unknown,,,,
,5/1/20,,,,,,,,,,x,,,,,,Bailey,Unknown,,,,
Human Biology,7/13/20,,,,,,,,,,,x,,,Sjogren's Syndrome,Needs food cooked in little to no oil,Unknown,Unknown,,X,Ashley,
,5/1/20,,,,,,,,,x,,,,,,,Holmes,Unknown,,,,
,5/1/20,,,,,,,,,x,,,x,,,,Off  campus,Unknown,,,,
,7/15/20,,,,,,,,,x,,,,,,,Unknown,Unknown,,,,
,7/16/20,,,,,,,,,x,,,,,,Twin daughters w/ Celiac Disease,Armstrong,Incoming Freshman,,,,
Computer Science,5/1/20,,,,,,,,,,,x,,,Pescatarian,,Wilson,Sophomore,,,,
Lifelong Education,5/1/20,,,,,,x,x,,,,,,,,,Case,Incoming Freshman,,,,
Media and Information,7/22/20,x,x,,,x,x,x,x,x,,,,,anaphylatic; mango & oats,,Owen,Incoming Freshman,,X,,
Criminal Justice,7/27/20,,x,,,,,,,,,,,,"Pork, Beef",Requesting roommate change d/t allergies,Unknown,Incoming Freshman,,X,,
Prenursing,7/27/20,,,,,x,,,,,,,,,,Requesting roommate change d/t allergies,Unknown,Incoming Freshman,,,,
,5/1/20,,,,,,x,,,,,x,,,,,Mason,Unknown,,,,
,5/1/20,,,,,,,,,,,,x,,,,Wilson,Unknown,,,,
,5/1/20,,x,,,x,x,,,,,,,,,,Phillips,Unknown,,,,
,5/1/20,,,,,x,x,,,,,,,,,,Mason,Unknown,,,,
,5/1/20,,,,,x,,x,,x,x,,,,"Pinto Beans, Millet, safflower (all intolerances)",,Wonders,Unknown,,,,
,8/3/20,,,,,,,,,,x,,,,,,McDonel,Unknown,,,,
,5/1/20,,,,,,,,,,x,,,,,,McDonel,Unknown,,,,
,5/1/20,,x,,,,,,,x,,,,,,,Hubbard,Unknown,,,,
,5/1/20,,,,,,,,,,x,,,,,,McDonel,Unknown,,,,
,5/1/20,,,,,,,,,,x,,,,,,Unknown,Unknown,,,,
,8/4/20,,,,,,,,,x,,,,,,,Off campus,Graduate,,,,
,8/5/20,,,,,x,x,,,,,,,,,,Armstrong,Unknown,,,,
,5/1/20,,,,,x,,,,,,,,,,,Gilchrist,Unknown,,,,
,5/1/20,,,,,,,,,,,,,,Bariatric Diet in Spring 2020,,Snyder,Unknown,,,,
,8/6/20,,,,x,,,,,x,,,,,Corn (anaphylatic),Uses sign language to communicate,Abbot,Unknown,,X,Ginger,
,5/1/20,,,,,,,,,,,x,,,,,Wilson,Unknown,,,,
,8/11/20,,,,,x,x,x,,x,,,,,Legumes,,Wonders,Incoming Freshman,,X,,
,5/1/20,x,x,,x,x,,,x,x,x,,,,,,Armstrong,Unknown,,,,
,5/1/20,,,,,,,,,x,,,,,,,Armstrong,Unknown,,,,
,5/1/20,,x,,,,,,,,,,,,,,Snyder,Unknown,,,,
,5/1/20,,,,,,,,,,x,,,,,,Hubbard,Unknown,,,,
,8/7/20,x,,,x,x,x,,,,,,,,,,Gilchrist,Incoming Freshman,,,,
,5/1/20,,x,,,,,,,,,,,,,,Wonders,Unknown,,,,
,8/14/20,x,x,,x,x,x,,x,,,,,,,,Case,Incoming Freshman,,,,
,5/1/20,,,,,,x,,,x,,x,,,Almonds & Walnuts,,Holden,Unknown,,,,
,5/1/20,,,,x,,x,,,,,,,,,,Bryan,Unknown,,,,
,5/1/20,,,,,,,,,,,,,,Keto,,Holden,Unknown,,,,
,8/17/20,,,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
,5/1/20,,,,,,,,,,,,x,,,,Hubbard,Unknown,,,,
